movie_title,release_date,genre,MPAA_rating,director,character,voice-actor,revenue
Beauty and the Beast,13-Nov-91,Musical,G,Gary Trousdale,Beast,Robby Benson,363017667.0
Beauty and the Beast,13-Nov-91,Musical,G,Gary Trousdale,Belle,Paige O'Hara,363017667.0
Beauty and the Beast,13-Nov-91,Musical,G,Gary Trousdale,Bimbette,Kath Soucie,363017667.0
Beauty and the Beast,13-Nov-91,Musical,G,Gary Trousdale,Bookseller,Alvin Epstein,363017667.0
Beauty and the Beast,13-Nov-91,Musical,G,Gary Trousdale,Chef Bouche,Brian Cummings,363017667.0
Beauty and the Beast,13-Nov-91,Musical,G,Gary Trousdale,Chip Potts,Bradley Michael Pierce,363017667.0
Beauty and the Beast,13-Nov-91,Musical,G,Gary Trousdale,Cogsworth,David Ogden Stiers,363017667.0
Beauty and the Beast,13-Nov-91,Musical,G,Gary Trousdale,Fifi the Featherduster,Kimmy Robertson,363017667.0
Beauty and the Beast,13-Nov-91,Musical,G,Gary Trousdale,Gaston,Richard White,363017667.0
Beauty and the Beast,13-Nov-91,Musical,G,Gary Trousdale,Le Fou,Jesse Corti,363017667.0
Beauty and the Beast,13-Nov-91,Musical,G,Gary Trousdale,Lumière,Jerry Orbach,363017667.0
Beauty and the Beast,13-Nov-91,Musical,G,Gary Trousdale,Maurice,Rex Everhart,363017667.0
Beauty and the Beast,13-Nov-91,Musical,G,Gary Trousdale,Monsieur D'Arque,Tony Jay,363017667.0
Beauty and the Beast,13-Nov-91,Musical,G,Gary Trousdale,Mrs. Potts,Angela Lansbury,363017667.0
Beauty and the Beast,13-Nov-91,Musical,G,Gary Trousdale,Philippe the Horse,Hal Smith,363017667.0
Beauty and the Beast,13-Nov-91,Musical,G,Gary Trousdale,Sultan the Footstool,Frank Welker,363017667.0
Miami Rhapsody,27-Jan-95,Romantic Comedy,PG-13,David Frankel,NA,NA,9857435.0
A Bug's Life,20-Nov-98,Adventure,G,John Lasseter,NA,NA,288981698.0
3 Men and a Little Lady,21-Nov-90,Comedy,PG,Emile Ardolino,NA,NA,143108869.0
The Puppet Masters,21-Oct-94,Horror,R,Stuart Orme,NA,NA,17727017.0
Signs,2-Aug-02,Thriller/Suspense,PG-13,M. Night Shyamalan,NA,NA,330754439.0
Dead Presidents,4-Oct-95,Drama,R,Albert Hughes,NA,NA,46741467.0
"McFarland, USA",20-Feb-15,Drama,PG,Niki Caro,NA,NA,44480275.0
George Of The Jungle,16-Jul-97,Comedy,PG,Sam Weisman,NA,NA,193326632.0
Bound by Honor,16-Apr-93,NA,R,Taylor Hackford,NA,NA,9156084.0
The Avengers,4-May-12,Action,PG-13,Joss Whedon,NA,NA,660081224.0
Ten Things I Hate About You,31-Mar-99,Romantic Comedy,PG-13,Andre Paras,NA,NA,63354375.0
Earth,22-Apr-09,Documentary,G,Kevin Nolting,NA,NA,35981010.0
Hello Again,6-Nov-87,Comedy,NA,Frank Perry,NA,NA,44024529.0
When a Man Loves a Woman,29-Apr-94,Drama,R,Luis Mandoki,NA,NA,103354194.0
Unbreakable,22-Nov-00,Thriller/Suspense,PG-13,M. Night Shyamalan,NA,NA,148208901.0
3 Men and a Baby,25-Nov-87,Comedy,PG,Leonard Nimoy,NA,NA,353334607.0
X Games 3D: The Movie,21-Aug-09,Documentary,PG,Steven Lawrence,NA,NA,1563976.0
Cars 2,24-Jun-11,Adventure,G,John Lasseter,NA,NA,203522177.0
