,movie_title,release_date,genre,MPAA_rating,MovieSuccessLevel,director,character,voice-actor
67,Beauty and the Beast,13-Nov-91,Musical,G,A,Gary Trousdale,Cogsworth,David Ogden Stiers
68,Beauty and the Beast,13-Nov-91,Musical,G,A,Gary Trousdale,Fifi the Featherduster,Kimmy Robertson
69,Beauty and the Beast,13-Nov-91,Musical,G,A,Gary Trousdale,Gaston,Richard White
70,Beauty and the Beast,13-Nov-91,Musical,G,A,Gary Trousdale,Le Fou,Jesse Corti
71,Beauty and the Beast,13-Nov-91,Musical,G,A,Gary Trousdale,Lumière,Jerry Orbach
72,Beauty and the Beast,13-Nov-91,Musical,G,A,Gary Trousdale,Maurice,Rex Everhart
73,Beauty and the Beast,13-Nov-91,Musical,G,A,Gary Trousdale,Monsieur D'Arque,Tony Jay
74,Beauty and the Beast,13-Nov-91,Musical,G,A,Gary Trousdale,Mrs. Potts,Angela Lansbury
75,Beauty and the Beast,13-Nov-91,Musical,G,A,Gary Trousdale,Philippe the Horse,Hal Smith
76,Beauty and the Beast,13-Nov-91,Musical,G,A,Gary Trousdale,Sultan the Footstool,Frank Welker
77,Miami Rhapsody,27-Jan-95,Romantic Comedy,PG-13,D,,,
78,A Bug's Life,20-Nov-98,Adventure,G,A,,,
79,3 Men and a Little Lady,21-Nov-90,Comedy,PG,B,,,
80,The Puppet Masters,21-Oct-94,Horror,R,D,,,
81,Signs,2-Aug-02,Thriller/Suspense,PG-13,A,,,
82,Dead Presidents,4-Oct-95,Drama,R,C,,,
83,"McFarland, USA",20-Feb-15,Drama,PG,C,,,
84,George Of The Jungle,16-Jul-97,Comedy,PG,B,,,
85,Bound by Honor,16-Apr-93,,R,D,,,
86,The Avengers,4-May-12,Action,PG-13,S,,,
87,Ten Things I Hate About You,31-Mar-99,Romantic Comedy,PG-13,C,,,
88,Earth,22-Apr-09,Documentary,G,C,,,
89,Hello Again,6-Nov-87,Comedy,,C,,,
90,When a Man Loves a Woman,29-Apr-94,Drama,R,B,,,
91,Unbreakable,22-Nov-00,Thriller/Suspense,PG-13,B,,,
92,3 Men and a Baby,25-Nov-87,Comedy,PG,A,,,
93,X Games 3D: The Movie,21-Aug-09,Documentary,PG,D,,,
94,Cars 2,24-Jun-11,Adventure,G,A,,,
95,The Princess Diaries 2: Royal Engagement,11-Aug-04,Romantic Comedy,G,B,,,
96,The Jungle Book 2,14-Feb-03,Adventure,G,C,,,
97,Aspen Extreme,22-Jan-93,Romantic Comedy,PG-13,D,,,
98,Noises Off...,20-Mar-92,Comedy,PG-13,D,,,
99,He Got Game,1-May-98,Drama,R,C,,,
100,Bringing Down the House,7-Mar-03,Comedy,PG-13,B,,,
101,Bon Voyage!,17-May-62,Comedy,Not Rated,B,,,
102,Doctor Strange,4-Nov-16,Adventure,PG-13,A,,,
103,Flubber,26-Nov-97,Comedy,PG,B,,,
104,Roving Mars,27-Jan-06,Documentary,G,D,,,
105,Captain Ron,18-Sep-92,Comedy,PG-13,C,,,
106,Shadow Conspiracy,31-Jan-97,Thriller/Suspense,R,D,,,
107,Good Morning Vietnam,23-Dec-87,Comedy,R,A,,,
108,Babes in Toyland,14-Dec-61,Musical,G,B,,,
109,An Innocent Man,6-Oct-89,Drama,R,C,,,
110,Summer of Sam,2-Jul-99,Drama,R,C,,,
111,The Good Dinosaur,25-Nov-15,Adventure,PG,B,,,
112,Angels in the Outfield,15-Jul-94,Comedy,PG,B,,,
113,Tough Guys,3-Oct-86,Comedy,,C,,,
114,Something Wicked This Way Comes,29-Apr-83,Horror,,D,,,
115,The Rocketeer,21-Jun-91,Action,PG,B,,,
116,Stakeout,5-Aug-87,Comedy,R,B,,,
117,National Treasure 2: Book of Secrets,21-Dec-07,Adventure,PG,A,,,
118,Terminal Velocity,23-Sep-94,Action,PG-13,C,,,
119,Apocalypto,8-Dec-06,Adventure,R,C,,,
120,Invincible,25-Aug-06,Drama,PG,B,,,
121,25th Hour,19-Dec-02,Drama,R,D,,,
122,Mighty Joe Young,25-Dec-98,Adventure,PG,B,,,
123,Deceived,27-Sep-91,Thriller/Suspense,PG-13,C,,,
124,Never Cry Wolf,7-Oct-83,Drama,,B,,,
125,G-Force,24-Jul-09,Adventure,PG,B,,,
126,Feast of July,13-Oct-95,Drama,R,D,,,
127,The Lookout,30-Mar-07,Drama,R,D,,,
128,Cool Runnings,1-Oct-93,Comedy,PG,B,,,
129,Alice Through the Looking Glass,27-May-16,Adventure,PG,B,,,
130,The Devil and Max Devlin,1-Jan-81,,,C,,,
